timestamp,dir,source,target,amount,type,ability
0.048,in,Guardia del Vínculo,Quyca,31.60,ARCANE,Oath Shatter
0.248,in,Guardia del Vínculo,Quyca,21.60,FIRE,Magma Wave
0.448,in,Guardia del Vínculo,Quyca,52.80,FIRE,Ashen Nova
1.848,in,Guardia del Vínculo,Quyca,21.60,FIRE,Magma Wave
3.464,in,Guardia del Vínculo,Quyca,21.60,FIRE,Magma Wave
3.648,in,Guardia del Vínculo,Quyca,31.60,ARCANE,Oath Shatter
4.648,in,Guardia del Vínculo,Quyca,52.80,FIRE,Ashen Nova
5.081,in,Guardia del Vínculo,Ama,17.10,FIRE,Magma Wave
6.681,in,Guardia del Vínculo,Ama,17.10,FIRE,Magma Wave
7.264,in,Guardia del Vínculo,Ama,27.10,ARCANE,Oath Shatter
0.046,in,Guardia del Vínculo,Quyca,31.60,ARCANE,Oath Shatter
0.229,in,Guardia del Vínculo,Quyca,21.60,FIRE,Magma Wave
0.412,in,Guardia del Vínculo,Quyca,52.80,FIRE,Ashen Nova
1.829,in,Guardia del Vínculo,Quyca,21.60,FIRE,Magma Wave
3.445,in,Guardia del Vínculo,Quyca,21.60,FIRE,Magma Wave
3.662,in,Guardia del Vínculo,Quyca,31.60,ARCANE,Oath Shatter
0.081,in,Guardia del Vínculo,Quyca,31.60,ARCANE,Oath Shatter
0.264,in,Guardia del Vínculo,Quyca,21.60,FIRE,Magma Wave
0.381,in,Guardia del Vínculo,Quyca,52.80,FIRE,Ashen Nova
1.864,in,Guardia del Vínculo,Quyca,21.60,FIRE,Magma Wave
