timestamp,event,details
0.041,regen_env_update,"day=0.50, raining=false, rain=0.70, regenScale=0.925, regrowX=1.00"
1.681,regen_env_update,"day=0.70, raining=false, rain=0.70, regenScale=0.955, regrowX=1.00"
3.748,regen_env_update,"day=0.90, raining=false, rain=0.70, regenScale=0.985, regrowX=1.00"
0.051,regen_env_update,"day=0.50, raining=false, rain=0.70, regenScale=0.925, regrowX=1.00"
1.692,regen_env_update,"day=0.70, raining=false, rain=0.70, regenScale=0.955, regrowX=1.00"
3.759,regen_env_update,"day=0.90, raining=false, rain=0.70, regenScale=0.985, regrowX=1.00"
0.051,regen_env_update,"day=0.50, raining=false, rain=0.70, regenScale=0.925, regrowX=1.00"
1.693,regen_env_update,"day=0.70, raining=false, rain=0.70, regenScale=0.955, regrowX=1.00"
0.049,regen_env_update,"day=0.50, raining=false, rain=0.70, regenScale=0.925, regrowX=1.00"
1.694,regen_env_update,"day=0.70, raining=false, rain=0.70, regenScale=0.955, regrowX=1.00"
3.760,regen_env_update,"day=0.90, raining=false, rain=0.70, regenScale=0.985, regrowX=1.00"
10.893,regen_env_update,"day=0.70, raining=false, rain=0.70, regenScale=0.955, regrowX=1.00"
12.544,regen_env_update,"day=0.50, raining=false, rain=0.70, regenScale=0.925, regrowX=1.00"
14.193,regen_env_update,"day=0.30, raining=false, rain=0.70, regenScale=0.895, regrowX=1.00"
16.260,regen_env_update,"day=0.10, raining=false, rain=0.70, regenScale=0.865, regrowX=1.00"
23.393,regen_env_update,"day=0.30, raining=false, rain=0.70, regenScale=0.895, regrowX=1.00"
25.043,regen_env_update,"day=0.50, raining=false, rain=0.70, regenScale=0.925, regrowX=1.00"
26.693,regen_env_update,"day=0.70, raining=false, rain=0.70, regenScale=0.955, regrowX=1.00"
0.065,regen_env_update,"day=0.50, raining=false, rain=0.70, regenScale=0.925, regrowX=1.00"
1.699,regen_env_update,"day=0.70, raining=false, rain=0.70, regenScale=0.955, regrowX=1.00"
3.766,regen_env_update,"day=0.90, raining=false, rain=0.70, regenScale=0.985, regrowX=1.00"
10.915,regen_env_update,"day=0.70, raining=false, rain=0.70, regenScale=0.955, regrowX=1.00"
12.565,regen_env_update,"day=0.50, raining=false, rain=0.70, regenScale=0.925, regrowX=1.00"
14.207,regen_env_update,"day=0.30, raining=false, rain=0.70, regenScale=0.895, regrowX=1.00"
16.276,regen_env_update,"day=0.10, raining=false, rain=0.70, regenScale=0.865, regrowX=1.00"
23.408,regen_env_update,"day=0.30, raining=false, rain=0.70, regenScale=0.895, regrowX=1.00"
25.058,regen_env_update,"day=0.50, raining=false, rain=0.70, regenScale=0.925, regrowX=1.00"
26.709,regen_env_update,"day=0.70, raining=false, rain=0.70, regenScale=0.955, regrowX=1.00"
28.775,regen_env_update,"day=0.90, raining=false, rain=0.70, regenScale=0.985, regrowX=1.00"
35.909,regen_env_update,"day=0.70, raining=false, rain=0.70, regenScale=0.955, regrowX=1.00"
37.559,regen_env_update,"day=0.50, raining=false, rain=0.70, regenScale=0.925, regrowX=1.00"
39.208,regen_env_update,"day=0.30, raining=false, rain=0.70, regenScale=0.895, regrowX=1.00"
41.274,regen_env_update,"day=0.10, raining=false, rain=0.70, regenScale=0.865, regrowX=1.00"
48.408,regen_env_update,"day=0.30, raining=false, rain=0.70, regenScale=0.895, regrowX=1.00"
50.059,regen_env_update,"day=0.50, raining=false, rain=0.70, regenScale=0.925, regrowX=1.00"
51.707,regen_env_update,"day=0.70, raining=false, rain=0.70, regenScale=0.955, regrowX=1.00"
53.775,regen_env_update,"day=0.90, raining=false, rain=0.70, regenScale=0.985, regrowX=1.00"
60.909,regen_env_update,"day=0.70, raining=false, rain=0.70, regenScale=0.955, regrowX=1.00"
62.558,regen_env_update,"day=0.50, raining=false, rain=0.70, regenScale=0.925, regrowX=1.00"
64.208,regen_env_update,"day=0.30, raining=false, rain=0.70, regenScale=0.895, regrowX=1.00"
66.275,regen_env_update,"day=0.10, raining=false, rain=0.70, regenScale=0.865, regrowX=1.00"
73.408,regen_env_update,"day=0.30, raining=false, rain=0.70, regenScale=0.895, regrowX=1.00"
75.059,regen_env_update,"day=0.50, raining=false, rain=0.70, regenScale=0.925, regrowX=1.00"
76.708,regen_env_update,"day=0.70, raining=false, rain=0.70, regenScale=0.955, regrowX=1.00"
78.775,regen_env_update,"day=0.90, raining=false, rain=0.70, regenScale=0.985, regrowX=1.00"
85.908,regen_env_update,"day=0.70, raining=false, rain=0.70, regenScale=0.955, regrowX=1.00"
87.558,regen_env_update,"day=0.50, raining=false, rain=0.70, regenScale=0.925, regrowX=1.00"
89.208,regen_env_update,"day=0.30, raining=false, rain=0.70, regenScale=0.895, regrowX=1.00"
91.275,regen_env_update,"day=0.10, raining=false, rain=0.70, regenScale=0.865, regrowX=1.00"
0.053,regen_env_update,"day=0.50, raining=false, rain=0.70, regenScale=0.925, regrowX=1.00"
1.697,regen_env_update,"day=0.70, raining=false, rain=0.70, regenScale=0.955, regrowX=1.00"
3.760,regen_env_update,"day=0.90, raining=false, rain=0.70, regenScale=0.985, regrowX=1.00"
0.053,regen_env_update,"day=0.50, raining=false, rain=0.70, regenScale=0.925, regrowX=1.00"
1.696,regen_env_update,"day=0.70, raining=false, rain=0.70, regenScale=0.955, regrowX=1.00"
3.763,regen_env_update,"day=0.90, raining=false, rain=0.70, regenScale=0.985, regrowX=1.00"
0.050,regen_env_update,"day=0.50, raining=false, rain=0.70, regenScale=0.925, regrowX=1.00"
1.692,regen_env_update,"day=0.70, raining=false, rain=0.70, regenScale=0.955, regrowX=1.00"
3.758,regen_env_update,"day=0.90, raining=false, rain=0.70, regenScale=0.985, regrowX=1.00"
10.875,regen_env_update,"day=0.70, raining=false, rain=0.70, regenScale=0.955, regrowX=1.00"
12.525,regen_env_update,"day=0.50, raining=false, rain=0.70, regenScale=0.925, regrowX=1.00"
14.159,regen_env_update,"day=0.30, raining=false, rain=0.70, regenScale=0.895, regrowX=1.00"
16.226,regen_env_update,"day=0.10, raining=false, rain=0.70, regenScale=0.865, regrowX=1.00"
23.359,regen_env_update,"day=0.30, raining=false, rain=0.70, regenScale=0.895, regrowX=1.00"
